"condition","n","pre_mean","pre_std","pre_mean_pct","post_mean","post_std","post_mean_pct"
"ane",37,6.5,1.8,65.4,6.9,2.1,68.9
"htn",37,6.8,1.9,67.6,7.3,1.8,73.2
"pprom",37,4.9,2.1,48.6,6.1,2.1,61.4
"qanc",37,7.6,1.7,76.2,7.4,1.9,73.8
"scd",37,4.4,1.7,43.8,4.8,1.5,48.1
"teen",37,6.3,1.9,62.7,7.6,1.8,76.2
"Overall Average",NA,6.1,2.1,60.7,6.7,2.1,66.9
