"condition","n","pre_mean","pre_std","pre_mean_pct","post_mean","post_std","post_mean_pct"
"ane",64,6.7,1.4,66.9,7.9,1.2,78.6
"htn",53,5.8,2.1,57.7,6.7,1.8,66.6
"pprom",40,6.2,2.1,61.5,7.4,1.6,73.8
"qanc",64,7.2,1.6,72.2,8,1.2,79.8
"scd",38,5.8,1.7,57.9,6.9,1.8,68.9
"teen",34,7.2,1.6,71.8,7.9,1.3,79.1
"Overall Average",NA,6.5,1.8,65.1,7.5,1.6,74.8
