"condition","n","pre_mean","pre_std","pre_mean_pct","post_mean","post_std","post_mean_pct"
"ane",15,6.7,2.2,66.7,8.1,1.8,80.7
"htn",15,7.5,2.6,74.7,8.3,1.8,83.3
"pprom",15,5.5,2.3,55.3,6.7,1.3,67.3
"qanc",15,7.5,1.6,75.3,8.5,1.2,84.7
"scd",15,5.7,1.5,56.7,6.4,1.6,64
"teen",15,7.1,2.1,71.3,7.9,1.4,79.3
"Overall Average",NA,6.7,2.2,66.7,7.7,1.7,76.6
